id	address	lat	lon
1000000103	Ул. Примерная, д. 103	52.291239	104.290745
1000000104	Ул. Примерная, д. 104	52.293116	104.270950
1000000105	Ул. Примерная, д. 105	52.293436	104.272548
1000000106	Ул. Примерная, д. 106	52.293151	104.274623
1000000107	Ул. Примерная, д. 107	52.293312	104.276035
1000000108	Ул. Примерная, д. 108	52.293014	104.277826
1000000109	Ул. Примерная, д. 109	52.293402	104.279953
1000000110	Ул. Примерная, д. 110	52.293023	104.281763
1000000111	Ул. Примерная, д. 111	52.293440	104.283479
1000000112	Ул. Примерная, д. 112	52.293125	104.285224
1000000113	Ул. Примерная, д. 113	52.293015	104.286757
1000000114	Ул. Примерная, д. 114	52.293435	104.288875
1000000115	Ул. Примерная, д. 115	52.293213	104.290817
1000000116	Ул. Примерная, д. 116	52.294967	104.270986
1000000117	Ул. Примерная, д. 117	52.295163	104.272456
1000000118	Ул. Примерная, д. 118	52.294876	104.274296
1000000119	Ул. Примерная, д. 119	52.294870	104.276243
1000000120	Ул. Примерная, д. 120	52.294880	104.277960
1000000121	Ул. Примерная, д. 121	52.294816	104.280005
1000000122	Ул. Примерная, д. 122	52.294927	104.281579
1000000123	Ул. Примерная, д. 123	52.295042	104.283602
1000000124	Ул. Примерная, д. 124	52.294960	104.285409
1000000125	Ул. Примерная, д. 125	52.295001	104.287016
1000000126	Ул. Примерная, д. 126	52.295012	104.288559
1000000127	Ул. Примерная, д. 127	52.294970	104.290442
1000000128	Ул. Примерная, д. 128	52.296552	104.270950
1000000129	Ул. Примерная, д. 129	52.296636	104.272587
1000000130	Ул. Примерная, д. 130	52.296913	104.274428
1000000131	Ул. Примерная, д. 131	52.296713	104.276209
1000000132	Ул. Примерная, д. 132	52.296828	104.278142
1000000133	Ул. Примерная, д. 133	52.296603	104.279830
1000000134	Ул. Примерная, д. 134	52.296674	104.281488
1000000135	Ул. Примерная, д. 135	52.296936	104.283404
1000000136	Ул. Примерная, д. 136	52.296831	104.285330
1000000137	Ул. Примерная, д. 137	52.297006	104.286972
1000000138	Ул. Примерная, д. 138	52.296856	104.288803
1000000139	Ул. Примерная, д. 139	52.296806	104.290696
1000002000	Ул. Примерная, д. 140	52.286933	104.291487
1000002001	Ул. Примерная, д. 141	52.290403	104.293408
1000002002	Ул. Примерная, д. 142	52.293044	104.291818
1000002003	Ул. Примерная, д. 143	52.296272	104.289369
1000002004	Ул. Примерная, д. 144	52.295058	104.285016
1000002005	Ул. Примерная, д. 145	52.296096	104.283448
1000002006	Ул. Примерная, д. 146	52.299433	104.280354
1000002007	Ул. Примерная, д. 147	52.298520	104.277272
1000002008	Ул. Примерная, д. 148	52.298220	104.274154
1000002009	Ул. Примерная, д. 149	52.295856	104.271629
1000002010	Ул. Примерная, д. 150	52.293712	104.269138
1000002011	Ул. Примерная, д. 151	52.289692	104.270179
1000002012	Ул. Примерная, д. 152	52.286719	104.271139
1000002013	Ул. Примерная, д. 153	52.284605	104.271872
1000002014	Ул. Примерная, д. 154	52.282195	104.272967
1000002015	Ул. Примерная, д. 155	52.278651	104.273372
1000002016	Ул. Примерная, д. 156	52.276846	104.274228
1000002017	Ул. Примерная, д. 157	52.276720	104.278375
1000002018	Ул. Примерная, д. 158	52.276448	104.280622
1000002019	Ул. Примерная, д. 159	52.275004	104.283732
1000002020	Ул. Примерная, д. 160	52.279008	104.285569
1000002021	Ул. Примерная, д. 161	52.278144	104.288603
1000002022	Ул. Примерная, д. 162	52.280949	104.290451
1000002023	Ул. Примерная, д. 163	52.283734	104.293320
1000003000	Ул. Примерная, д. 164	52.287256	104.299602
1000003001	Ул. Примерная, д. 165	52.291234	104.302559
1000003002	Ул. Примерная, д. 166	52.295444	104.300065
1000003003	Ул. Примерная, д. 167	52.297770	104.296666
1000003004	Ул. Примерная, д. 168	52.300306	104.293995
1000003005	Ул. Примерная, д. 169	52.303181	104.291509
1000003006	Ул. Примерная, д. 170	52.307050	104.289134
1000003007	Ул. Примерная, д. 171	52.306080	104.284064
1000003008	Ул. Примерная, д. 172	52.306417	104.280933
1000003009	Ул. Примерная, д. 173	52.307386	104.276538
1000003010	Ул. Примерная, д. 174	52.307514	104.272317
1000003011	Ул. Примерная, д. 175	52.304130	104.269518
1000003012	Ул. Примерная, д. 176	52.301454	104.266341
1000003013	Ул. Примерная, д. 177	52.299482	104.261967
1000003014	Ул. Примерная, д. 178	52.295389	104.260439
1000003015	Ул. Примерная, д. 179	52.290432	104.260331
1000003016	Ул. Примерная, д. 180	52.287141	104.261173
1000003017	Ул. Примерная, д. 181	52.282650	104.261766
1000003018	Ул. Примерная, д. 182	52.278467	104.259711
1000003019	Ул. Примерная, д. 183	52.275599	104.264056
1000003020	Ул. Примерная, д. 184	52.272965	104.266583
1000003021	Ул. Примерная, д. 185	52.268376	104.268054
1000003022	Ул. Примерная, д. 186	52.268909	104.272864
1000003023	Ул. Примерная, д. 187	52.266367	104.276597
1000003024	Ул. Примерная, д. 188	52.266004	104.280401
1000003025	Ул. Примерная, д. 189	52.265790	104.284565
1000003026	Ул. Примерная, д. 190	52.268914	104.287650
1000003027	Ул. Примерная, д. 191	52.270832	104.291039
1000003028	Ул. Примерная, д. 192	52.271838	104.296042
1000003029	Ул. Примерная, д. 193	52.275099	104.299064
1000003030	Ул. Примерная, д. 194	52.278859	104.300178
1000003031	Ул. Примерная, д. 195	52.283301	104.300065
1000004000	Ул. Примерная, д. 196	52.287235	104.311267
1000004001	Ул. Примерная, д. 197	52.292219	104.313121
1000004002	Ул. Примерная, д. 198	52.296366	104.309766
1000004003	Ул. Примерная, д. 199	52.302341	104.310732
1000004004	Ул. Примерная, д. 200	52.306300	104.307043
1000004005	Ул. Примерная, д. 201	52.309804	104.303405
1000004006	Ул. Примерная, д. 202	52.311462	104.298251
1000004007	Ул. Примерная, д. 203	52.316668	104.295965
1000004008	Ул. Примерная, д. 204	52.317995	104.290734
1000004009	Ул. Примерная, д. 205	52.316841	104.285643
1000004010	Ул. Примерная, д. 206	52.318947	104.280859
1000004011	Ул. Примерная, д. 207	52.317028	104.275718
1000004012	Ул. Примерная, д. 208	52.315480	104.271567
1000004013	Ул. Примерная, д. 209	52.314601	104.267183
1000004014	Ул. Примерная, д. 210	52.312652	104.261884
1000004015	Ул. Примерная, д. 211	52.310314	104.257670
1000004016	Ул. Примерная, д. 212	52.305622	104.253997
1000004017	Ул. Примерная, д. 213	52.301224	104.252869
1000004018	Ул. Примерная, д. 214	52.296385	104.249569
1000004019	Ул. Примерная, д. 215	52.291933	104.250200
1000004020	Ул. Примерная, д. 216	52.286691	104.248014
1000004021	Ул. Примерная, д. 217	52.281883	104.248852
1000004022	Ул. Примерная, д. 218	52.276224	104.249247
1000004023	Ул. Примерная, д. 219	52.271098	104.250592
1000004024	Ул. Примерная, д. 220	52.267807	104.253726
1000004025	Ул. Примерная, д. 221	52.264637	104.259173
1000004026	Ул. Примерная, д. 222	52.262029	104.262213
1000004027	Ул. Примерная, д. 223	52.258755	104.265761
1000004028	Ул. Примерная, д. 224	52.255257	104.270803
1000004029	Ул. Примерная, д. 225	52.254222	104.275965
1000004030	Ул. Примерная, д. 226	52.254480	104.280204
1000004031	Ул. Примерная, д. 227	52.255278	104.285503
1000004032	Ул. Примерная, д. 228	52.257677	104.289961
1000004033	Ул. Примерная, д. 229	52.256677	104.296096
1000004034	Ул. Примерная, д. 230	52.259534	104.300733
1000004035	Ул. Примерная, д. 231	52.264072	104.303720
1000004036	Ул. Примерная, д. 232	52.268284	104.306674
1000004037	Ул. Примерная, д. 233	52.272071	104.309458
1000004038	Ул. Примерная, д. 234	52.276838	104.309880
1000004039	Ул. Примерная, д. 235	52.281470	104.314064
