node_id_from	node_id_to	length
1000004019	1000004018	0.004496
1000003008	1000003009	0.004501
1000003023	1000003022	0.004516
1000003017	1000003016	0.004530
1000003006	1000003005	0.004540
1000004017	1000004016	0.004540
1000004024	1000004023	0.004545
1000003018	1000003017	0.004661
1000004036	1000004037	0.004700
1000004037	1000004038	0.004786
1000003013	1000003012	0.004798
1000003004	1000000139	0.004810
1000003021	1000003020	0.004819
1000004015	1000004014	0.004819
1000004027	1000004026	0.004828
1000003022	1000003021	0.004839
1000004021	1000004020	0.004880
1000003001	1000003002	0.004893
1000003000	1000003001	0.004957
1000003014	1000003015	0.004958
1000004004	1000004005	0.005051
1000004032	1000004031	0.005063
1000003028	1000003027	0.005103
1000004035	1000004036	0.005145
1000003006	1000003007	0.005162
1000004009	1000004008	0.005220
1000004010	1000004009	0.005227
1000004028	1000004029	0.005265
1000004023	1000004022	0.005300
1000004001	1000004000	0.005318
1000004002	1000004001	0.005334
1000004030	1000004031	0.005359
1000004008	1000004007	0.005397
1000004004	1000004003	0.005411
1000004006	1000004005	0.005414
1000004035	1000004034	0.005433
1000004034	1000004033	0.005446
1000004010	1000004011	0.005487
1000004014	1000004013	0.005646
1000004022	1000004021	0.005673
1000004019	1000004020	0.005680
1000004007	1000004006	0.005686
1000004018	1000004017	0.005857
1000004015	1000004016	0.005959
1000004002	1000004003	0.006053
1000004028	1000004027	0.006137
1000004033	1000004032	0.006216
1000004038	1000004039	0.006242
1000004025	1000004024	0.006302
1000004012	1000003010	0.008001
